producto,precioProducto
Honor X8A 256GB 8GB,2999
Laptop HP 245 G9 14 Ryzen 3  3250U  W11H,628468
Apple Watch SE 2a Gen (2023) GPS 40mm Caja de Aluminio,4878
Xiaomi Redmi Watch 3 Active,829
Xiaomi Redmi 13C 256GB 8GB,2999
"Audífonos Samsung Galaxy Buds 3 Pro, True Wireless, Bluetooth",3849
Samsung Galaxy Note 10 Plus 256GB 12GB,6899
Samsung Galaxy S24 Ultra 5G Dual SIM 512GB 12GB,19899
Samsung Galaxy S24 Ultra 5G Dual SIM 512GB 12GB,19899
Apple iPhone 15 128GB Dual SIM Física,15199
Xiaomi Redmi Note 13 Pro 5G 512GB 12GB,6299
Xiaomi Redmi Note 13 Pro+ 5G 512GB 12GB,7449
Laptop HP 245 G9 14 Ryzen 3  3250U  W11H,5699
JBL Audífonos inalámbricos Reflect Mini 2,1699
Xiaomi Pad 6 256GB 8GB,7549
Microsoft Consola Xbox Series S 512GB,6799
Xiaomi Bocina inalámbrica Mi Portable,799
Harman Kardon Bocina inalámbrica Aura Studio 3 HKAURAS3BLKAM,5399
Xioami Poco M6 4G 126GB 6GB,3299
Xiaomi Redmi Watch 4,2049
JBL Bocina portátil Go 3,649
Xiaomi Redmi Buds 4 Active,389
Xiaomi Redmi Watch 3 Active,829
Sony Control Inalámbrico para PlayStation 4 DualShock 4,1499
Huawei FreeBuds 5i,1899